
Sluggo's North,"Hill City Pale Ale, Imperial Pilsner, Hill City IPA","501 Cherokee Boulevard, Chattanooga, TN",35.066973,-85.314858,"501 Cherokee Boulevard, Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>Hill City Pale Ale, Imperial Pilsner, Hill City IPA",11,"<a href='http://maps.google.com/maps/place?cid=5909432037906448587&q=Sluggo's+North&hl=en&gl=us&ie=UTF8&ll=35.095856,-85.353503&spn=0.00007,0.000086&t=w&z=14&vpsrc=0' target='_blank'>Sluggo's North</a>","http://maps.google.com/maps/place?cid=5909432037906448587&q=Sluggo's+North&hl=en&gl=us&ie=UTF8&ll=35.095856,-85.353503&spn=0.00007,0.000086&t=w&z=14&vpsrc=0"
Taco Mamacita,Winter Warmer,"109 North Market Street, Chattanooga, TN",35.066773,-85.309058,"109 North Market Street, Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>Winter Warmer",12,"<a href='http://maps.google.com/maps/place?cid=6490354443832962867&q=Taco+Mamacita&hl=en&gl=us&ie=UTF8&ll=35.092502,-85.348103&spn=0.00007,0.000086&t=w&z=14&vpsrc=0' target='_blank'>Taco Mamacita</a>","http://maps.google.com/maps/place?cid=6490354443832962867&q=Taco+Mamacita&hl=en&gl=us&ie=UTF8&ll=35.092502,-85.348103&spn=0.00007,0.000086&t=w&z=14&vpsrc=0"
Blacksmith's Bistro,"Winter Warmer, ChickBock, Hill City IPA, Imperial Pilsner","3914 Saint Elmo Avenue, Chattanooga, TN",35.009966,-85.328266,"3914 Saint Elmo Avenue, Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>Winter Warmer, ChickBock, Hill City IPA, Imperial Pilsner",13,"<a href='http://maps.google.com/maps/place?cid=9882169275172650457&q=Blacksmith's+Bistro&hl=en&gl=us&ie=UTF8&ll=35.067241,-85.40526&spn=0.000141,0.000172&t=w&z=13&vpsrc=0' target='_blank'>Blacksmith's Bistro</a>","http://maps.google.com/maps/place?cid=9882169275172650457&q=Blacksmith's+Bistro&hl=en&gl=us&ie=UTF8&ll=35.067241,-85.40526&spn=0.000141,0.000172&t=w&z=13&vpsrc=0"
Taco Mac,"Hill City IPA, ChickBock","423 Market Street, Chattanooga, TN",35.066504,-85.309036,"423 Market Street, Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>Hill City IPA, ChickBock",14,"<a href='http://maps.google.com/maps/place?cid=9006010421464940929&q=Taco+Mac&hl=en&gl=us&ie=UTF8&ll=35.058697,-85.319415&spn=0.000018,0.000021&t=w&z=16&vpsrc=0' target='_blank'>Taco Mac</a>","http://maps.google.com/maps/place?cid=9006010421464940929&q=Taco+Mac&hl=en&gl=us&ie=UTF8&ll=35.058697,-85.319415&spn=0.000018,0.000021&t=w&z=16&vpsrc=0"
Table 2,ChickBock,"232 East 11th Street, Chattanooga, TN",35.042907,-85.306557,"232 East 11th Street, Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>ChickBock",15,"<a href='http://maps.google.com/maps/place?cid=10581588594916058605&q=Table+2&hl=en&gl=us&ie=UTF8&ll=35.049506,-85.316316&spn=0.000018,0.000021&t=w&z=16&vpsrc=0' target='_blank'>Table 2</a>","http://maps.google.com/maps/place?cid=10581588594916058605&q=Table+2&hl=en&gl=us&ie=UTF8&ll=35.049506,-85.316316&spn=0.000018,0.000021&t=w&z=16&vpsrc=0"
The Public House,"Imperial Pilsner, ChickBock","1110 Market St # 101, Chattanooga, TN",35.04286,-85.30899,"1110 Market St # 101, Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>Imperial Pilsner, ChickBock",16,"<a href='http://maps.google.com/maps/place?cid=5462691513413330431&q=The+Public+House&hl=en&gl=us&ie=UTF8&ll=35.049362,-85.318135&spn=0.000018,0.000021&t=w&z=16&vpsrc=0' target='_blank'>The Public House</a>","http://maps.google.com/maps/place?cid=5462691513413330431&q=The+Public+House&hl=en&gl=us&ie=UTF8&ll=35.049362,-85.318135&spn=0.000018,0.000021&t=w&z=16&vpsrc=0"
Sticky Fingers,N/A,"420 Broad Street, Chattanooga, TN",35.051987,-85.310557,"420 Broad Street, Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>N/A",17,"<a href='http://maps.google.com/maps/place?cid=8679492333976900389&q=Sticky+Fingers&hl=en&gl=us&ie=UTF8&ll=35.157905,-85.3905&spn=0.000281,0.000343&t=w&z=12&vpsrc=0' target='_blank'>Sticky Fingers</a>","http://maps.google.com/maps/place?cid=8679492333976900389&q=Sticky+Fingers&hl=en&gl=us&ie=UTF8&ll=35.157905,-85.3905&spn=0.000281,0.000343&t=w&z=12&vpsrc=0"
The Foundry,Hill City IPA,"1201 Broad Street, Chattanooga, TN",35.041574,-85.309557,"1201 Broad Street, Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>Hill City IPA",18,"<a href='http://maps.google.com/maps/place?ftid=0x88605e7e8d92c1e9:0x93241d1cbe7e6694&q=1201+Broad+Street,+Chattanooga,+TN&hl=en&gl=us&ie=UTF8&ll=35.044465,-85.315249&spn=0.000009,0.000011&t=w&z=17&vpsrc=0' target='_blank'>The Foundry</a>","http://maps.google.com/maps/place?ftid=0x88605e7e8d92c1e9:0x93241d1cbe7e6694&q=1201+Broad+Street,+Chattanooga,+TN&hl=en&gl=us&ie=UTF8&ll=35.044465,-85.315249&spn=0.000009,0.000011&t=w&z=17&vpsrc=0"
Sugar's Ribs (Downtown),Hill City IPA,"2450 15th Avenue, Chattanooga, TN",35.012413,-85.27213,"2450 15th Avenue, Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>Hill City IPA",19,"<a href='http://maps.google.com/maps/place?cid=1996742394638426924&q=Sugar's+Ribs&hl=en&gl=us&ie=UTF8&ll=35.058578,-85.338262&spn=0.00007,0.000086&t=w&z=14&vpsrc=0' target='_blank'>Sugar's Ribs (Downtown)</a>","http://maps.google.com/maps/place?cid=1996742394638426924&q=Sugar's+Ribs&hl=en&gl=us&ie=UTF8&ll=35.058578,-85.338262&spn=0.00007,0.000086&t=w&z=14&vpsrc=0"
Lupi's Pizza Pies (Hixson),Hill City Stout,"5506 Hixson Pike, Hixson, TN",35.144247,-85.225815,"5506 Hixson Pike, Hixson, TN<br><br><strong>Beers on Tap:</strong><br>Hill City Stout",20,"<a href='http://maps.google.com/maps/place?cid=15775279075950026793&q=Lupi's+Pizza+Pies&gl=us&hl=en&dtab=2&ie=UTF8&ll=35.148084,-85.229157&spn=0.000009,0.000011&t=w&z=17&vpsrc=6' target='_blank'>Lupi's Pizza Pies (Hixson)</a>","http://maps.google.com/maps/place?cid=15775279075950026793&q=Lupi's+Pizza+Pies&gl=us&hl=en&dtab=2&ie=UTF8&ll=35.148084,-85.229157&spn=0.000009,0.000011&t=w&z=17&vpsrc=6"
